FFD,8858,12,23,17555
FFD,8859,4,13,4131
FFD,8876,1,1,65
FFD,8877,3,8,731
FFD,8878,3,8,573
FFD,8879,3,8,554
FFD,8880,7,17,5169
FFD,8882,8,17,1109
FFD,8881,5,12,930
FFD,8883,5,18,1154
FFD,8885,4,14,716
FFD,8884,10,26,1665
FFD,8887,3,7,349
FFD,8886,3,8,406
FFD,8889,2,5,272
FFD,8891,2,9,398
FFD,8892,3,7,272
FFD,8893,2,6,249
FFD,8890,4,10,507
FFD,8888,3,8,366
BFD,8858,12,23,1939
BFD,8859,4,13,2621
BFD,8876,1,1,27
BFD,8877,3,8,321
BFD,8878,3,8,319
BFD,8879,3,8,301
BFD,8880,7,17,2399
BFD,8882,8,17,1162
BFD,8881,5,12,1099
BFD,8883,5,18,1373
BFD,8885,4,14,786
BFD,8884,10,26,1773
BFD,8887,3,7,420
BFD,8886,3,8,492
BFD,8889,2,5,207
BFD,8891,2,9,509
BFD,8892,3,7,310
BFD,8893,2,6,270
BFD,8890,4,10,515
BFD,8888,3,8,559
MFK,8858,14,31,467
MFK,8859,5,16,686
MFK,8876,1,1,33
MFK,8877,4,9,190
MFK,8878,4,9,173
MFK,8879,4,9,157
MFK,8880,8,22,441
MFK,8882,10,21,358
MFK,8881,7,16,318
MFK,8883,7,17,430
MFK,8885,5,13,325
MFK,8884,13,27,567
MFK,8887,3,8,171
MFK,8886,3,9,240
MFK,8889,2,5,107
MFK,8891,3,10,237
MFK,8892,3,7,164
MFK,8893,3,9,187
MFK,8890,5,12,205
MFK,8888,3,8,258
FFD,8858,0,0,22384
FFD,8859,0,0,3584
FFD,8876,0,0,35
FFD,8877,0,0,677
FFD,8878,0,0,694
FFD,8879,0,0,714
FFD,8880,0,0,1722
FFD,8882,0,0,1012
FFD,8881,0,0,812
FFD,8883,0,0,1208
FFD,8885,0,0,642
FFD,8884,0,0,1183
FFD,8887,0,0,267
FFD,8886,0,0,444
FFD,8889,0,0,218
FFD,8891,0,0,373
FFD,8892,0,0,304
FFD,8893,0,0,276
FFD,8890,0,0,459
FFD,8888,0,0,385
FFD,8858,0,0,23842
FFD,8859,0,0,3638
FFD,8876,0,0,40
FFD,8877,0,0,772
FFD,8878,0,0,733
FFD,8879,0,0,934
FFD,8880,0,0,2029
FFD,8882,0,0,1300
FFD,8881,0,0,914
FFD,8883,0,0,1406
FFD,8885,0,0,630
FFD,8884,0,0,1211
FFD,8887,0,0,312
FFD,8886,0,0,471
FFD,8889,0,0,201
FFD,8891,0,0,432
FFD,8892,0,0,300
FFD,8893,0,0,288
FFD,8890,0,0,469
FFD,8888,0,0,409
FFD,8858,0,0,21496
FFD,8859,0,0,3394
FFD,8876,0,0,39
FFD,8877,0,0,791
FFD,8878,0,0,670
FFD,8879,0,0,654
FFD,8880,0,0,1870
FFD,8882,0,0,1060
FFD,8881,0,0,1247
FFD,8883,0,0,1222
FFD,8885,0,0,680
FFD,8884,0,0,1308
FFD,8887,0,0,331
FFD,8886,0,0,483
FFD,8889,0,0,302
FFD,8891,0,0,403
FFD,8892,0,0,292
FFD,8893,0,0,315
FFD,8890,0,0,486
FFD,8888,0,0,381
FFD,8858,0,0,27746
FFD,8859,0,0,8905
FFD,8876,0,0,81
FFD,8877,0,0,1021
FFD,8878,0,0,624
FFD,8879,0,0,686
FFD,8880,0,0,2820
FFD,8882,0,0,1842
FFD,8881,0,0,883
FFD,8883,0,0,1279
FFD,8885,0,0,682
FFD,8884,0,0,1279
FFD,8887,0,0,306
FFD,8886,0,0,449
FFD,8889,0,0,172
FFD,8891,0,0,374
FFD,8892,0,0,741
FFD,8893,0,0,289
FFD,8890,0,0,475
FFD,8888,0,0,363
